,Train_MAE,Train_RMSE,MAE,RMSE,
397,7.656686763,15.58217435,42.14917815,71.67818328,
398,8.164188443,15.82758719,33.36391864,74.55155253,
399,9.153723439,18.38300838,32.99695261,74.57582476,
400,7.586835298,15.05037443,28.05655132,46.31803448,
401,8.975626399,17.00386049,24.13219901,45.12338357,
402,9.263817367,18.27716122,36.65940295,107.3210906,
403,8.266223259,14.842829,53.51859707,169.642978,
404,8.903192715,17.3752337,27.61957495,39.95533963,
405,7.388071627,14.52722603,25.76000739,42.2410804,
406,8.302020948,16.16831535,17.3072181,24.62524996,
407,10.32630526,20.25776812,35.91100845,53.80800998,
408,9.5355384,17.46118537,50.37684093,124.6327454,
409,8.818021349,16.89509398,44.35601174,76.8757656,
410,8.747890485,17.18653964,34.13124387,50.34973542,
