,Train_MAE,Train_RMSE,MAE,RMSE,SEM(MAE),SEM(RMSE)
370,0.040263268,0.087762006,0.204604484,0.296400216,,
371,0.037054305,0.085329764,0.540025401,0.797065564,,
372,2.09E-10,3.18E-10,0.296623892,0.437299522,,
373,0.048352505,0.094752821,0.354550847,0.481754722,,
374,2.12E-10,3.24E-10,0.376980998,0.545333678,,
375,1.92E-10,2.80E-10,0.458895768,0.661338807,,
376,1.81E-10,2.74E-10,0.328397546,0.513691254,,
377,0.045052072,0.091815144,0.373065081,0.486146426,,
378,0.043200197,0.090876875,0.448731822,0.684304937,,
379,0.041731836,0.088471316,0.308561028,0.454619875,,
380,0.040159871,0.087466682,0.390431662,0.614197768,,
381,0.066792994,0.113380696,0.280174265,0.383169818,,
382,0.043058839,0.090268217,0.318315911,0.432218411,,
383,0.035248808,0.083721374,0.35736802,0.467348658,,
384,0.04356179,0.091245586,0.321002308,0.545849954,,
385,0.052233466,0.099306689,0.363183133,0.520121516,,
386,2.13E-10,3.31E-10,0.453663908,0.646555666,,
387,0.042628777,0.08963991,0.272376989,0.405106294,,
388,0.050384542,0.097501469,0.281986553,0.400281395,,
389,0.044482296,0.092084996,0.302249217,0.402680258,,
390,0.04284393,0.089297516,0.234718328,0.342246029,,
391,1.72E-10,2.49E-10,0.442593483,0.59347729,,
392,0.042466741,0.090174154,0.34055269,0.57393171,,
393,0.037497913,0.085921286,0.363917828,0.581386827,,
394,0.044878651,0.091109016,0.267806782,0.482784449,,
395,0.05832315,0.107272559,0.364032297,0.505325621,,
396,0.045503378,0.092126493,0.383709772,0.574003063,,
397,2.23E-10,3.44E-10,0.397633863,0.550811372,,
398,2.10E-10,3.15E-10,0.409351521,0.633502274,,
399,0.053219021,0.100136994,0.504422011,0.691787765,,
400,0.04738768,0.094806169,0.37325181,0.59504469,,
401,2.04E-10,3.03E-10,0.304230313,0.480480452,,
402,0.057347957,0.103078795,0.40372723,0.523493999,,
403,0.045658014,0.0927474,0.323837052,0.472051142,,
404,0.042815852,0.090573331,0.343324026,0.456511957,,
405,1.80E-10,2.66E-10,0.486923727,0.746448222,,
406,0.042885725,0.089424481,0.31868769,0.449004803,,
407,0.046425246,0.093668036,0.385742272,0.528547899,,
408,0.043545482,0.090248885,0.383963168,0.56421151,,
409,0.052981323,0.100592113,0.428321996,0.591944598,,
410,0.043070878,0.090361231,0.321026183,0.453607464,,
411,0.046704044,0.094377781,0.309376589,0.421099455,,
412,0.042207376,0.08896687,0.329555256,0.477331502,,
413,2.11E-10,3.08E-10,0.38086788,0.526585894,,
414,1.85E-10,2.85E-10,0.305138897,0.463127679,,
415,0.064308172,0.109842693,0.492210884,0.790396728,,
416,0.042016352,0.088893067,0.3954375,0.613410713,,
417,0.045335839,0.0918577,0.252123119,0.420199612,,
418,0.050553067,0.099663383,0.365325362,0.569869682,,
419,0.046668292,0.09368309,0.320080774,0.437953411,,
420,0.041947048,0.088840141,0.382643331,0.597270888,,
421,0.040859349,0.088220583,0.306816833,0.428076555,,
422,1.86E-10,2.83E-10,0.463470143,0.696302759,,
423,0.04181526,0.088662594,0.305190036,0.395117364,,
424,0.046710463,0.092283854,0.324834793,0.523567519,,
425,0.040904633,0.088362563,0.295495697,0.364180353,,
426,1.94E-10,2.92E-10,0.39105273,0.551505461,,
427,8.81E-07,1.31E-06,0.349054496,0.543430354,,
428,2.06E-10,3.21E-10,0.458848973,0.647423705,,
429,0.051286356,0.098421297,0.370430366,0.518393555,,
430,0.044348673,0.092072087,0.431188661,0.52803403,,
431,0.042978381,0.089652598,0.324274783,0.475165854,,
432,0.050317013,0.098195416,0.383408356,0.496480133,,
433,1.89E-10,2.82E-10,0.421714793,0.614477942,,
434,0.045000364,0.091829721,0.210907392,0.30468507,,
435,2.11E-10,3.21E-10,0.384313771,0.582305645,,
436,2.11E-10,3.30E-10,0.470740252,0.657098685,,
437,0.044999824,0.092098561,0.352419194,0.432170438,,
438,0.040979458,0.089499199,0.46711304,0.737076966,,
439,0.042689706,0.090853995,0.385361875,0.508558179,,
440,0.043298712,0.090563768,0.321877085,0.453886967,,
441,0.04301542,0.090465943,0.349888954,0.559969808,,
442,0.042063897,0.089283471,0.499709358,0.726040226,,
443,0.047646095,0.094208687,0.392995391,0.488729614,,
444,0.043737688,0.091000821,0.454269882,0.716709883,,
445,0.041113544,0.088298372,0.387131006,0.512105306,,
446,1.91E-10,2.76E-10,0.393546485,0.602115061,,
447,0.04657925,0.093216356,0.340593703,0.522628316,,
448,1.93E-10,2.78E-10,0.369731252,0.506115502,,
449,0.038896908,0.087112179,0.437401633,0.546561705,,
450,0.059287208,0.108098755,0.380494475,0.523765306,,
451,0.039265289,0.086689146,0.262116588,0.333555934,,
452,1.80E-10,2.58E-10,0.35840541,0.527722586,,
453,1.93E-10,2.89E-10,0.3056894,0.565307137,,
454,1.79E-10,2.62E-10,0.355947358,0.498050531,,
455,0.047944156,0.095237425,0.315518097,0.41574269,,
456,0.045292713,0.091921453,0.290149972,0.443585638,,
457,0.046014911,0.094165508,0.310784881,0.39435994,,
