Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
UF,238.03,19,17.59549469,X,0,,,,,,2.02,,,"M. Burton and L. M. Ziurys, J. Chem. Phys., 2019, 150, 034303",2019,
UO,238.03,16,14.99224501,X,0,846.5,2.3,,,,1.8383,,,"I. O. Antonov and M. C. Heaven, J. Phys. Chem. A, 2013, 117, 9684Ð9694.",2013,
VF,50.942,18.998,13.83751953,X $^5 \Delta$,0,670.4,2.7,0.3863,0.0028,,1.7758,,,"Ram, R., Bernath, P. and Davis, S., 2002. Infrared emission spectroscopy of the [10.5]5?ÐX5? system of VF. The Journal of Chemical Physics, 116(16), pp.7035-7039.",2002,"1-Although the authors suggest that the ground state of VF is ${}^5 \Delta$, they do not rule out the ${}^5 \Pi$ state"
WC,184,12,11.26530612,X $^3 \Delta_1$,0,983.2,10.8,,,,1.7,,,UO 27Ð65.,1994,
Xe2,129,132,65.1936118,$X \ ^1\Sigma_{g}^+$ ,0,21.12,0.65,,,,,0.023,11.127,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Xe2,129,132,65.1936118,H ,82001,30,,,,,,0.023,11.127,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Xe2,129,132,65.1936118,K ,85139.6,26,1,,,,,0.023,11.127,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
XeKr,132,84,51.33333333,X $^1 \Sigma^{+}$,0,20.3,,,,,4.18,0.0138,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369.  [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369.",2/27/1977 0:00,
YbH,173.054,1,0.994254657,X,0,1249.54,21.06,3.99305,0.09565,16.18,2.0526,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
YC,88.9,12,10.5728444,X $^4 \Pi_{5/2}$,0,686,,,,,2.05,4.29,,"[1] R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Ð2954. [2] B. Simard, P. A. Hackett, and W. J. Balfour, Chem. Phys. Lett. 230, 103 (1997). [3] I. Shim, M. Pelino, and K. A. Gingerich, J. Chem. Phys. 97, 9240 (1992).",[1] 2001 [2] 1997 [3] 1992,[1] $r_o$ value [2] $\omega_e \pm 20$ 
ZnD,65.38,2,1.940635203,X,0,1072,28,3.3497,,1.24,1.6054,0.879,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
ZrC,91.224,12,10.60497559,X $^1 \Sigma^{+}$,0,905,,,,,1.74,5.1,,"[1] R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Ð2954. [2] M. R. Sievers, Y.-M. Chen, and P. B. Armentrout, J. Chem. Phys. 105,6322 (1996).",[1] 2001 [2] 1996,[1] $r_o$ value [2] $\Delta G_{1/2]$  value
