Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
LiK,6.941,39.098,5.894550664,A $^1 \Sigma^{+}$,12097.11,137.0821,0.8882,,,,3.947,0.81091,4.69,"[4] Grochola, A., Szczepkowski, J., Jastrzebski, W. and Kowalczyk, P., 2012. The electronic state of KLi molecule.ÊChemical Physics Letters, 535, pp.17-20.",[4] 2012,
LiMg,6.941,24.305,5.399123248,X 1 $^2 \Sigma^{+}$,0,187.3,6.16,0.32,,,3.1,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.ÊThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021,"1-for ground state it is B_e is B_0 value and R_e is R_0 values estimated from B_0. D_e was calculated using Morse expression
2-D_0 has been calculated using the observed values of D_e, omega_{e} and omega_{e}x_{e} of the ground state"
LiMg,6.941,24.305,5.399123248,1 $^2 \Pi$,6147,349.9,2.66,,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.ÊThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021,T_0 is reported not T_e
LiMg,6.941,24.305,5.399123248,2 $^2 \Sigma$,10387,,,,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.ÊThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021,T_0 is reported not T_e
LiMg,6.941,24.305,5.399123248,2 $^2 \Pi$,18154,186.3,1.5,0.302,,,,0.165323985,4.77029,"[1] Persinger, T., Han, J. and Heaven, M., 2021. Electronic Spectroscopy and Photoionization of LiMg.ÊThe Journal of Physical Chemistry A, 125(17), pp.3653-3663.",[1] 2021,"1-T_0 is reported not T_e 
2-B_0 is reported not B_e"
LiNa,6.941,22.99,5.331381845,X $^1 \Sigma^{+}$,0,256.99,1.657,0.3768,0.00381,,2.885,0.89764,4.94,"[1] Engelke, F., Ennen, G. and Meiwes, K., 1982. Laser induced fluorescence spectroscopy of NaLi in beam and bulk. Chemical Physics, 66(3), pp.391-402. [2] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1982 [2] 1977,couldn't find T_e values
LiNa,6.941,22.99,5.331381845,B $^1 \Pi$,20100,209.63,9.979,0.3224,,,3.119,0.89764,4.94,"[1] Engelke, F., Ennen, G. and Meiwes, K., 1982. Laser induced fluorescence spectroscopy of NaLi in beam and bulk. Chemical Physics, 66(3), pp.391-402. [2] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1982 [2] 1978,couldn't find T_e values
LiNa,6.941,22.99,5.331381845,A $^1 \Sigma^{+}$,1496,191,1.1,,,,,0.89764,4.94,"[3] Kappes, M., Marti, K., Radi, P., SchŠr, M. and Schumacher, E., 1984. Resonant two-photon ionization of LiNa. Observation and preliminary characterization of five new singlet states. Chemical Physics Letters, 107(1), pp.6-12.
[4] Neogr‡dy, P., Szalay, P., Kraemer, W. and Urban, M., 2005. Coupled-Cluster Study of Spectroscopic Constants of the Alkali Metal Diatomics: Ground and the Singlet Excited States of Na2, NaLi, NaK, and NaRb. Collection of Czechoslovak Chemical Communications, 70(7), pp.951-978.",[3] 1984 [4] 2005,
LuO,174.967,15.999,14.6586148,X,0,842.5,3.1,0.35806,0.0016,0.255,1.7904,7.19,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Mg2,24,24,11.9925222,X $^1 \Sigma_{g}^{+}$,0,51.121,1.645,0.09287,0.0037761,12.17,3.8905,0.0501,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Mg2,24,24,11.9925222,A $^1 \Sigma_{u}^{+}$,26068.76,190.615,1.1456,0.147999,0.001316,3.34,3.08186,0.0501,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
MgCa,24.305,40.078,15.12970489,X $^1 \Sigma^{+}$,0,60.257,1.6525,0.0689,0.001934,,4.039,0.081946,,"[1] H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. 
[2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1] 1985 [2] 2021,"1- J.C. Miller, B.S. Ault, L. Andrews, J. Chem. Phys. 67 (1977) 2478. and J.C. Miller, L. Andrews, J. Am. Chem. Soc. 100 (1978) 6956. reported ground state \Omega_e=97 , theoretical values suggest that the value we report here (omega_e=60 cm-1) is correct.
2-For dissociation energy, the D_e value is used with omega_e and omeg_ex_e to evaluate D_0 as follows D_0(ev)=(D_e-0.5*omega_e-0.25*omega_ex_e)*0.000123981."
MgCa,24.305,40.078,15.12970489,B' $^1 \Sigma^{+}$,17560.4,162.906,,0.102,,,3.319,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1] 1985 [2] 2021,"1- J.C. Miller, B.S. Ault, L. Andrews, J. Chem. Phys. 67 (1977) 2478. and J.C. Miller, L. Andrews, J. Am. Chem. Soc. 100 (1978) 6956. reported ground state \Omega_e=97 2-For dissociation energy, the D_e value is reported instead of D_0 due to the discrepancy in \omega_e values"
MgCa,24.305,40.078,15.12970489,C' $^1 \Pi$,21290.74,135.33,,0.094,,,3.457,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1] 1985 [2] 2021,"1- J.C. Miller, B.S. Ault, L. Andrews, J. Chem. Phys. 67 (1977) 2478. and J.C. Miller, L. Andrews, J. Am. Chem. Soc. 100 (1978) 6956. reported ground state \Omega_e=97 2-For dissociation energy, the D_e value is reported instead of D_0 due to the discrepancy in \omega_e values"
MgCa,24.305,40.078,15.12970489,E $^1 \Sigma^{+}$,22216.03,117.325,,0.0882,,,3.569,0.081946,,"[1]H. Atmanspacher, H. Scheingraber, C.R. Vidal, J. Chem. Phys. 82 (1985) 3491. [2] Rizkallah, G., Assaf, A. and Tohme, S., 2021. Molecular structure and properties of MgCa molecule. Chemical Physics, 550, p.111316.",[1] 1985 [2] 2021,"1- J.C. Miller, B.S. Ault, L. Andrews, J. Chem. Phys. 67 (1977) 2478. and J.C. Miller, L. Andrews, J. Am. Chem. Soc. 100 (1978) 6956. reported ground state \Omega_e=97 2-For dissociation energy, the D_e value is reported instead of D_0 due to the discrepancy in \omega_e values"
MgH,24,1,0.96,X $^2 \Sigma^{+}$,0,1495.2,31.889,5.8257,0.1859,,1.7297,,,"Knight, L.B., Jr.;ÊWeltner, W., Jr.,ÊHyperfine interaction and chemical bonding in MgH, CaH, SrH, and BaH molecules,ÊJ. Chem. Phys., 1971, 54, 3875.Ê",1971,
MgH,24,1,0.96,A $^2 \Pi_{r}$,19226.8,1598.17,31.085,6.1913,0.1931,,1.6778,,,"Knight, L.B., Jr.;ÊWeltner, W., Jr.,ÊHyperfine interaction and chemical bonding in MgH, CaH, SrH, and BaH molecules,ÊJ. Chem. Phys., 1971, 54, 3875.Ê",1971,
MoC,95.95,12,10.6660491,X $^3 \Sigma^{-}_{0^{+}}$,0,1008,,,,,1.676,,,"[1] R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Ð2954. [2] D. J. Brugh, T. J. Ronningen, and M. D. Morse, J. Chem. Phys. 109, 7851 (1998).",[1] 2001 [2] 1998,$r_o$ value
N2,14,14,7.0015372,X $^1 \Sigma_{g}^{-}$,0,2358.57,14.324,1.998241,0.017318,57.6,1.097685,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,A' $^3 \Sigma_{u}^{+}$,50203.63,1460.64,13.872,1.4546,0.018,61.5,1.2866,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,B$^3 \Pi_{g}$,59619.31,1733.39,14.122,1.6374,0.01791,59,1.2126,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,W $^3 \Delta_{ u }$,59808,1501.4,11.6,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,B $^{3} \Sigma_{u}^{-}$,66272.47,1516.88,12.181,1.4733,0.01666,55.6,1.2784,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,a' $^1 \Sigma_{g}^{-}$,68152.66,1530.254,,12.0747,1.4799,0.1657,5.55,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,a $^1 \Pi_{g}$,69283.06,1694.2,,13.9491,1.6169,0.1793,5.89,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,w ${ }^{1} \Delta_{g}$,72097.4,1559.26,,11.63,1.498,0.166,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,A' $^5 \Sigma_{g}^{+}$,78800,650,,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,G $^3 \Delta_{g}$,87900,742.49,,11.85,0.928,0.161,5,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,C $^3 \Sigma_{ u }^{+}$,89136.88,2047.178,,28.445,1.82473,0.1868,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,E $^{1} \Sigma_{u}^{+}$,95858,2185,,,1.9273,,6,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,C' $^3 \Pi_{u}$,98351,791,33.5,1.0496,,109,1.5146,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,"a"" ${ }^{1} \Sigma_{g}^{+}$",100016,,,1.9133,,62,1.1218,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,b $^1 \Pi_{u}$,101675,634.8,,1.4483,,290,1.2841,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,D $^3 \Sigma_{u}^{+}$,104746.6,,,1.961,,200,1.108,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,b' $^1 \Sigma_{ u }^{+}$,104498,760.08,4.418,1.1549,0.007387,,1.4439,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$c_{3} \ { }^1 \Pi_{u}$,104476,2192.2,14.7,1.932,0.0395,,1.1163,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$c'_{4} \ ^{1} \Sigma_{u}^{+}$,104519,2201.78,25.199,1.9612,0.0436,,1.108,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,H $^3 \Phi_{u}$,105720,924.21,12.29,1.0873,0.0191,70,1.4881,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$o_3 {}^1 \Pi_{u}$,105869,1987.4,16.3,1.7339,0.0088,53,1.1784,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$p^r$,12116,1869,10,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$q^r$,132136,1900,18,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$r^r$,132878,1903,15,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
N2,14,14,7.0015372,$s^r$,133355,1885,12,,,,,9.7594,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-77,
Na2,23,23,11.4948852,X $^1 \Sigma^{+}_{g}$,0,159.1245,0.72547,0.154707,0.0008736,5.811,3.07887,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
Na2,23,23,11.4948852,A $^1 \Sigma^{+}_{u}$,14680.58,117.323,0.3576,0.110784,0.0005488,3.882,3.6384,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
Na2,23,23,11.4948852,B $^1 \Pi_{u}$,20320.02,124.09,0.6999,0.125277,0.0007237,3.248,3.4228,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
Na2,23,23,11.4948852,C $^1 \Pi_{u}$,29382,119.33,0.53,,,,,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
Na2,23,23,11.4948852,D $^1 \Pi_{u}$,33486.8,111.3,0.48,,,,,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
Na2,23,23,11.4948852,E $^1 \Pi_{u}$,35557,106.2,0.65,,,,,0.72,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jun-77,
NaBr,23,79,17.81372549,X,0,302.1,1.5,0.15125331,0.00094095,1.5535,2.502038,3.74,8.31,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaCl,23,35,13.87931034,X,0,366,2.05,0.21806309,0.0062482,3.1202,2.360795,4.23,8.93,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaCs,23,133,19.60897436,X,0,98.89,0.326,0.058,0.00023,,3.851,0.42,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaF,23,19,10.4047619,X,0,536,3.4,0.43690127,0.00455869,1.161,1.925947,5.33,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaH,23,1,0.958333333,X,0,1176,21.2,4.89,0.131,,1.889,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaI,23,127,19.47333333,X,0,258,1.08,0.11780561,0.00064777,0.9734,2.711452,3,7.64,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NaK,22.99,39.098,14.4772423,X $^1 \Sigma^{+}$,0,124,0.5,0.095,0.00048,,3.498,0.63312,4.416,"[1] Leutwyler, S., Hofmann, M., Harri, H. and Schumacher, E., 1981. The adiabatic ionization potentials of the alkali dimers Na2, NaK and K2. Chemical Physics Letters, 77(2), pp.257-260. [2] MŸller, W. and Meyer, W., 1984. Ground?state properties of alkali dimers and their cations (including the elements Li, Na, and K) from ab initio calculations with effective core polarization potentials. The Journal of Chemical Physics, 80(7), pp.3311-3320.",[1] 1981 [2] 1984,
NaK,22.99,39.098,14.4772423,A $^1 \Sigma^{+}$,12137.272,81.250506,0.27470815,0.0661371,0.00036,,4.17,0.63312,4.416,"[4] Ross, A., Clements, R. and Barrow, R., 1988. The A(2)1?+ state of NaK. Journal of Molecular Spectroscopy, 127(2), pp.546-548.",[4] 1988,
NaRb,22.99,85.468,18.11677626,X $^1 \Sigma^{+}$,0,106.96,0.3636,0.0736,,,3.08,0.61707,,"[1] Chaieb, M., Habli, H., Mejrissi, L., Oujia, B. and GadŽa, F., 2014. <i>Ab initio</i> spectroscopic study for the NaRb molecule in ground and excited states. International Journal of Quantum Chemistry, 114(11), pp.731-747. [2] Docenko, O., Tamanis, M., Ferber, R., Pashov, A., Knšckel, H. and Tiemann, E., 2004. Potential of the ground state of NaRb. Physical Review A, 69(4). [3] Takahashi, N. and Kat™, H., 1981. Laser induced fluorescence of the NaRb molecule. The Journal of Chemical Physics, 75(9), pp.4350-4356.",[1] 2014 [2] 2004 [3] 1981,"States were enumerated in most papers instead of X, A, B,..."
NaRb,22.99,85.468,18.11677626,a $^3 \Sigma^{+}$,4847,18.86,0.754,0.02822,,,5.746864924,0.61707,,"[1] Chaieb, M., Habli, H., Mejrissi, L., Oujia, B. and GadŽa, F., 2014. <i>Ab initio</i> spectroscopic study for the NaRb molecule in ground and excited states. International Journal of Quantum Chemistry, 114(11), pp.731-747.  [2] Wang, Y., Kajitani, M., Kasahara, S., Baba, M., Ishikawa, K. and Kat™, H., 1991. High resolution laser spectroscopy of the <i>B</i>?<sup>1</sup>?Ð<i>X</i>?<sup>1</sup>?<sup>+</sup> transition of <sup>23</sup>Na<sup>85</sup>Rb. The Journal of Chemical Physics, 95(9), pp.6229-6237. [3] Takahashi, N. and Kat™, H., 1981. Laser?induced fluorescence of the NaRb molecule. The Journal of Chemical Physics, 75(9), pp.4350-4356.",[1] 2014 [2] 1991,
NaRb,22.99,85.468,18.11677626,B $^1 \Pi$,16527,61.17,,0.0557,,,4.175208495,0.61707,,"[1] Chaieb, M., Habli, H., Mejrissi, L., Oujia, B. and GadŽa, F., 2014. <i>Ab initio</i> spectroscopic study for the NaRb molecule in ground and excited states. International Journal of Quantum Chemistry, 114(11), pp.731-747.  [2] Zaitsevskii, A., Adamson, S., Pazyuk, E., Stolyarov, A., Nikolayeva, O., Docenko, O., Klincare, I., Auzinsh, M., Tamanis, M., Ferber, R. and Cimiraglia, R., 2001. Energy and radiative properties of the low-lying NaRb states. Physical Review A, 63(5).",[1] 2014 [2] 1991 [3] 1982,
NaRb,22.99,85.468,18.11677626,D $^1 \Pi$,19692,73.26,0.4744,0.05244,,,4.212250902,0.61707,,"[1] Chaieb, M., Habli, H., Mejrissi, L., Oujia, B. and GadŽa, F., 2014. <i>Ab initio</i> spectroscopic study for the NaRb molecule in ground and excited states. International Journal of Quantum Chemistry, 114(11), pp.731-747.  [2] Wang, Y., Kajitani, M., Kasahara, S., Baba, M., Ishikawa, K. and Kat™, H., 1991. High resolution laser spectroscopy of the <i>B</i>?<sup>1</sup>?Ð<i>X</i>?<sup>1</sup>?<sup>+</sup> transition of <sup>23</sup>Na<sup>85</sup>Rb. The Journal of Chemical Physics, 95(9), pp.6229-6237. ",[1] 2014 [2] 2001,
NbC,92.906,12,10.62734257,X $^2 \Delta_{3/2}$,0,980,,,,,1.7,,,"[1] R. S. DaBell, R. G. Meyer and M. D. Morse, J. Chem. Phys., 2001, 114, 2938Ð2954. [2] B. Simard, P. I. Presunka, H. P. Loock, A. Be«rces, and O. Launila, J.Chem. Phys. 107, 307 (1997).",[1] 2001 [2] 1997,[1] $r_o$ value [2] $\Delta G_{1/2]$  value
NbO,93,16,13.65137615,X,0,989,3.83,0.4321,0.0021,2.2,1.6909,7.8,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Ne2,20,20,9.99622,X $^1 \Sigma_{u}^{+}$,0,28.5,,0.17,0.06,,3.15,0.00202,4.9,"[1] K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] J.F. Ogilvie, Y.H. Wang, J. Mol. Struct. 273 (1992) 277.",[1] 3/1/1977 [2] 1992,
Ne2,20,20,9.99622,A $^1 \Sigma_{u}^{+} \ O^{+}_{u}$,133800,176,,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,B $O^{+}_{u}$,135761,58,,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,C $L_u$,156480,290,10,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,D $O^{+}_{u}$,158635,60,10,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,E $O^{-}_{u}$,159135,80,10,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,F $O^{+}_{u}$,159347,60,7.5,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,G $O^{+}_{u}$,160233,213,9.3,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,H $O^{+}_{u}$,160322,201,7,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,I,161950,79,,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,J $L_u$,164220,190,,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,K $O^{+}_{u}$,165750,50,10,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,L $O_{u}^{-}$,166362,70,7.5,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
Ne2,20,20,9.99622,M $O_{u}^{+}$,166580,30,10,,,,,0.00202,4.9,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
NeKr,20,84,16.15384615,X $^1 \Sigma^{+}$,0,18.7,,,,,3.58,0.0064,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",2/28/1977 0:00,
NeXe,20,132,17.36842105,X $^1 \Sigma^{+}$,0,17.5,,,,,3.74,0.0065,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",3/2/1977 0:00,
NiC,58,12,9.942857143,X $^1 \Sigma^{+}$,0,875.155,5.382,0.64038,0.00547,,1.62729,,,"D. J. Brugh and M. D. Morse, J. Chem. Phys., 2002, 117, 10703Ð10714.",2002,
NiD,58.693,2,1.934094541,X,0,1390.09,19,3.992,0.092,1.3,1.464,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NiH,58.693,1,0.983247617,X,0,1926.6,38,7.7,0.231,4.81,1.4756,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
NiO,58,16,12.54054054,X $^3 \Sigma^{-}$,0,839.1,5.4,0.507991,0.004335,,1.62712,,,"R. Ram and P. Bernath, J. Mol. Spectrosc., 1992, 155, 315Ð325.",1992,
NiS,58,32,20.62222222,X $^3 \Sigma^{-}$,0,512.68,3.61,0.2124516,0.0011831,,1.962496,,,"R. Ram, S. Yu, I. Gordon and P. Bernath, J. Mol. Spectrosc., 2009, 258, 20Ð25.",2009,
O2,16,16,7.99745751,X $^3 \Sigma_{g}^{-}$,0,1580.193,11.981,1.4376766,0.01593,48.39,1.20752,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
O2,16,16,7.99745751,a $^1 \Delta_{g}$,7918.1,1483.5,12.9,1.4264,0.0171,48.6,1.21563,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
O2,16,16,7.99745751,b $^1 \Sigma_{g}^{+}$,13195.1,1432.77,14,1.40037,0.0182,53.51,1.22688,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
O2,16,16,7.99745751,c $^1 \Sigma_{u}^{-}$,33057.3,794.29,12.736,0.9155,0.01391,74,1.5174,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
O2,16,16,7.99745751,A' $^3 \Delta_{u}$,34690,850,20,0.96,0.0262,,1.48,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
O2,16,16,7.99745751,A $^3 \Sigma_{u}^{+}$,35397.8,799.07,12.16,0.9106,0.01416,47,1.5215,5.1156,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
P2,31,31,15.4868817,X $\ ^{1} \Sigma_{g}^{+}$,0,780.77,2.835,0.30362,0.00149,1.88,1.8934,5.033,10.53,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
P2,31,31,15.4868817,a $\ ^3{\Sigma}^+$,18794.5,565.17,2.75,,,7,2.0853,5.033,10.53,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
P2,31,31,15.4868817,b' $\ ^3 \Sigma_{u}^{-}$,28503.4,604.48,2.2,0.2584,0.0014,1.7,2.052,5.033,10.53,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Mar-77,
