Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
AuAl,A $0^+$,23.7307715,16265.06,347.96,1.854,0.13646,0.00085,0.78,2.2816,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuBe,X $^2\Sigma^+$,8.617873,0,607.68,3.53,0.46074,0.004,10.4,2.0605,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuBe,A $^2\Sigma^+$,8.617873,17171.04,655.44,3.595,0.49264,0.00463,10.9,1.9927,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuD,X $^1\Sigma^+$,1.99371527,0,1634.98,21.655,3.6415,0.07614,709,1.5238,3.26,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuD,A $0^+$,1.99371527,27644.1,1195.24,34.813,3.0352,0.0963,790,1.6691,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuF,X $^1 \Sigma^{+}$,17.32678,0,448,27,0.264344,0.001869,,1.918,3.323058,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schrљder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapљtke, T. and Schwarz, H., 1994. Definitiver Beweis fџr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van Wџllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracРHartreeРFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005
AuF,A $^1 \Pi$,17.32678,17685,397,26,,,,,3.326189,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schrљder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapљtke, T. and Schwarz, H., 1994. Definitiver Beweis fџr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van Wџllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracРHartreeРFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005
AuF,B $^1 \Sigma^{+}$,17.32678,17757,409,24,,,,,3.325383,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schrљder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapљtke, T. and Schwarz, H., 1994. Definitiver Beweis fџr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van Wџllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracРHartreeРFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005
AuH,X $^1\Sigma^+$,1.0026947,0,2305.1,43.12,7.2401,0.2136,2790,1.5239,3.22,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuH,A $0^+$,1.0026947,27665.7,1669.55,55.06,6.0069,0.249,3240,1.673,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuMg,X $^2\Sigma^+$,21.3813864,0,307.9,1.1,0.1324,0.00073,1.02,2.4427,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuMg,A $^2\Sigma^+$,21.3813864,18392.7,341.7,3.3,0.14201,,1.06,2.3562,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AuS,X $^2\Pi_{3/2}$,229.0315687,0,410.19,1.65,0.1315363,,0.64,2.156,3.089,,"A J. Parsons, S. P. Gelason, T. D. Varberg, Molecular Physics, 116:23-24, 3547-3553",Jan-18
B2,X ${}^3\Sigma_{g}^{-}$,5.50465267,0,1051.3,9.35,1.212,0.014,,1.59,3.02,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76
B2,A ${}^3\Sigma_{u}^{-}$,5.50465267,30573.4,937.4,2.6,1.16,0.011,,1.625,3.02,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Sep-76
BaD,X $^2\Sigma^+$,1.98510975,0,829.77,7.32,1.7071,0.02363,287.7,2.2304,1.97,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
BaD,A $^2\Pi_{1/2}$,1.98510975,9456.2,788.85,7.67,1.6475,0.0259,294,2.259,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
BaD,A $^2\Pi_{3/2}$,1.98510975,9938.34,791.23,7.8,1.65983,0.0271,310,2.259,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
BaF,X $^2\Sigma^+$,16.6980158,0,468.9,1.79,0.21585,0.0012,1.75,2.1627,6.05,4.85,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
BaF,A $^2\Pi$,16.6980158,11646.9,435.5,1.68,0.2118,0.0011,,2.183,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-76
